Mod:Item:MetaData, Localized Name
minecraft:air, 空気
minecraft:stone:0, 石
minecraft:stone:1, 花崗岩
minecraft:stone:2, 磨かれた花崗岩
minecraft:stone:3, 閃緑岩
minecraft:stone:4, 磨かれた閃緑岩
minecraft:stone:5, 安山岩
minecraft:stone:6, 磨かれた安山岩
minecraft:grass, 草ブロック
minecraft:dirt:0, 土
minecraft:dirt:1, 粗い土
minecraft:dirt:2, ポドゾル
minecraft:cobblestone, 丸石
minecraft:planks:0, オークの木材
minecraft:planks:1, マツの木材
minecraft:planks:2, シラカバの木材
minecraft:planks:3, ジャングルの木材
minecraft:planks:4, アカシアの木材
minecraft:planks:5, ダークオークの木材
minecraft:sapling:0, オークの苗木
minecraft:sapling:1, マツの苗木
minecraft:sapling:2, シラカバの苗木
minecraft:sapling:3, ジャングルの苗木
minecraft:sapling:4, アカシアの苗木
minecraft:sapling:5, ダークオークの苗木
minecraft:bedrock, 岩盤
minecraft:sand:0, 砂
minecraft:sand:1, 赤い砂
minecraft:gravel, 砂利
minecraft:gold_ore, 金鉱石
minecraft:iron_ore, 鉄鉱石
minecraft:coal_ore, 石炭鉱石
minecraft:log:0, オークの原木
minecraft:log:1, マツの原木
minecraft:log:2, シラカバの原木
minecraft:log:3, ジャングルの原木
minecraft:leaves:0, オークの葉
minecraft:leaves:1, マツの葉
minecraft:leaves:2, シラカバの葉
minecraft:leaves:3, ジャングルの葉
minecraft:sponge:0, スポンジ
minecraft:sponge:1, 濡れたスポンジ
minecraft:glass, ガラス
minecraft:lapis_ore, ラピスラズリ鉱石
minecraft:lapis_block, ラピスラズリブロック
minecraft:dispenser, ディスペンサー
minecraft:sandstone:0, 砂岩
minecraft:sandstone:1, 模様入りの砂岩
minecraft:sandstone:2, 滑らかな砂岩
minecraft:noteblock, 音符ブロック
minecraft:golden_rail, パワードレール
minecraft:detector_rail, 木の感圧レール
minecraft:sticky_piston, 粘着ピストン
minecraft:web, クモの巣
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, シダ
minecraft:deadbush, 枯れ木
minecraft:piston, ピストン
minecraft:wool:0, 白色の羊毛
minecraft:wool:1, 橙色の羊毛
minecraft:wool:2, 赤紫色の羊毛
minecraft:wool:3, 空色の羊毛
minecraft:wool:4, 黄色の羊毛
minecraft:wool:5, 黄緑色の羊毛
